model,year,price,mileage,tax,mpg,engineSize,transmission_Automatic,transmission_Manual,transmission_Semi-Auto,fuelType_Diesel,fuelType_Hybrid,fuelType_Petrol,state_New,state_Used
0,2015,10965,47000.0,30,55.4,1,0,1,0,0,0,1,0,1
7,2019,31490,6000.0,145,39.2,5,1,0,0,1,0,0,0,1
1,2019,21950,5000.0,145,51.4,3,0,1,0,1,0,0,0,1
7,2019,33000,7500.0,145,38.2,5,1,0,0,1,0,0,0,1
6,2015,17998,25719.0,160,49.6,5,0,1,0,1,0,0,0,1
4,2017,18998,35786.0,145,64.2,5,0,0,1,1,0,0,0,1
1,2018,25489,18478.0,145,43.5,5,0,0,1,0,0,1,0,1
6,2015,19498,14919.0,160,49.6,5,0,1,0,1,0,0,0,1
3,2020,30990,1500.0,145,39.2,5,0,0,1,0,0,1,0,1
1,2017,18442,28849.0,30,57.6,1,0,0,1,0,0,1,0,1
1,2016,12891,51757.0,20,60.1,1,0,0,1,0,0,1,0,1
1,2016,12695,22000.0,20,70.6,5,0,1,0,1,0,0,0,1
1,2015,9995,29565.0,125,53.3,1,0,1,0,0,0,1,0,1
6,2016,17898,15982.0,30,60.1,5,0,1,0,1,0,0,0,1
2,2019,27990,6000.0,145,45.6,5,1,0,0,1,0,0,0,1
7,2019,30995,4750.0,145,39.2,5,0,0,1,1,0,0,0,1
1,2019,22480,6925.0,145,51.4,3,0,1,0,1,0,0,0,1
6,2019,26990,5000.0,145,42.8,5,0,1,0,1,0,0,0,1
6,2019,29995,0.0,145,39.8,2,0,1,0,0,0,1,1,0
7,2016,33995,23478.0,235,42.2,6,0,0,1,1,0,0,0,1
6,2020,27690,0.0,145,42.8,5,0,1,0,1,0,0,1,0
3,2016,13699,34553.0,125,58.9,5,0,1,0,1,0,0,0,1
5,2019,26970,4515.0,145,33.2,5,1,0,0,0,0,1,0,1
6,2019,38250,2673.0,145,45.6,5,1,0,0,1,0,0,0,1
4,2015,14992,73699.0,125,58.9,6,0,0,1,1,0,0,0,1
0,2019,25990,6000.0,145,47.9,0,0,1,0,0,0,1,0,1
6,2017,24290,15836.0,145,40.4,5,0,0,1,0,0,1,0,1
4,2015,16995,55220.0,30,64.2,5,0,0,1,1,0,0,0,1
0,2019,21780,6661.0,150,47.1,0,0,0,1,0,0,1,0,1
1,2015,13995,40000.0,125,61.4,5,1,0,0,1,0,0,0,1
5,2019,26995,5000.0,145,39.2,2,0,1,0,0,0,1,0,1
6,2013,10190,69884.0,145,54.3,5,0,1,0,1,0,0,0,1
2,2016,15450,43420.0,30,55.4,5,0,0,1,0,0,1,0,1
7,2018,37495,19443.0,145,34.0,6,0,0,1,0,0,1,0,1
2,2017,15250,59000.0,30,67.3,5,0,1,0,1,0,0,0,1
6,2014,15880,19000.0,200,47.9,5,1,0,0,1,0,0,0,1
5,2017,15250,42755.0,30,64.2,3,0,1,0,1,0,0,0,1
1,2017,15970,30584.0,145,60.1,1,0,1,0,0,0,1,0,1
4,2014,15000,29074.0,145,55.4,5,0,0,1,1,0,0,0,1
7,2019,33950,12354.0,145,38.2,5,1,0,0,1,0,0,0,1
1,2019,22490,14300.0,145,42.2,2,0,0,1,0,0,1,0,1
1,2019,31450,5069.0,145,34.9,5,0,0,1,0,0,1,0,1
0,2017,12100,49221.0,145,55.4,1,0,1,0,0,0,1,0,1
0,2019,19857,6272.0,145,50.4,0,0,1,0,0,0,1,0,1
